title,year_range,publisher,genre,characteristic,platform,user_avg_range
Tony Hawk's Pro Skater 2,1995-2000,Activision,Sports,Skateboarding,Dreamcast,6-7
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,PlayStation2,7-8
NFL 2K1,1995-2000,Sega,Sports,Football,Dreamcast,6-7
Madden NFL 2003,2000-2005,EA,Sports,Football,PlayStation2,7-8
Tony Hawk's Pro Skater 2,2000-2005,Activision,Sports,Skateboarding,GameBoyAdvance,6-7
Tony Hawk's Pro Skater 4,2000-2005,Activision,Sports,Skateboarding,PlayStation2,8-9
Madden NFL 2002,2000-2005,EA,Sports,Football,PlayStation2,7-8
Madden NFL 2004,2000-2005,EA,Sports,Football,PlayStation2,8-9
Burnout 3: Takedown,2000-2005,EA,Racing,Arcade,Xbox,7-8
NCAA Football 2004,2000-2005,EA,Sports,Football,PlayStation2,8-9
Madden NFL 2004,2000-2005,EA,Sports,Football,GameCube,6-7
Burnout 3: Takedown,2000-2005,EA,Racing,Arcade,PlayStation2,8-9
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,Xbox,7-8
SSX,1995-2000,EA,Sports,Snowboarding,PlayStation2,8-9
SSX 3,2000-2005,EA,Sports,Snowboarding,PlayStation2,8-9
World Soccer Winning Eleven 6 International,2000-2005,Konami,Sports,Soccer,PlayStation2,8-9
NFL 2K3,2000-2005,Sega,Sports,Football,PlayStation2,7-8
Mass Effect 3,2010-2015,EA,Action RPG,Sci-Fi,Xbox360,5-6
NBA 2K1,1995-2000,Sega,Sports,Basketball,Dreamcast,6-7
World Soccer Winning Eleven 7 International,2000-2005,Konami,Sports,Soccer,PlayStation2,8-9
NBA 2K2,2000-2005,Sega,Sports,Basketball,Dreamcast,7-8
NFL 2K3,2000-2005,Sega,Sports,Football,GameCube,8-9
SSX Tricky,2000-2005,EA,Sports,Snowboarding,PlayStation2,8-9
NHL 2002,2000-2005,EA,Sports,Ice Hockey,PlayStation2,8-9
SSX 3,2000-2005,EA,Sports,Snowboarding,GameCube,8-9
Madden NFL 2004,2000-2005,EA,Sports,Football,Xbox,8-9
World Soccer Winning Eleven 7 International,2000-2005,EA,Sports,Soccer,PC,7-8
Madden NFL 2003,2000-2005,EA,Sports,Football,GameCube,8-9
ESPN NFL 2K5,2000-2005,Sega,Sports,Football,Xbox,8-9
Madden NFL 2003,2000-2005,Sega,Sports,Football,Xbox,8-9
SSX 3,2000-2005,EA,Sports,Snowboarding,Xbox,8-9
Tony Hawk's Pro Skater,1995-2000,Activision,Sports,Skateboarding,PlayStation,8-9
Medal of Honor,1995-2000,EA,FPS,Historic,PlayStation,8-9
Out of the Park Baseball 17,2015-2020,OutOfTheParkDevelopments,Sports,Baseball,PC,<4
Tiger Woods PGA Tour 2003,2000-2005,EA,Sports,Golf,PC,4-5
Madden NFL 2005,2000-2005,EA,Sports,Football,Xbox,7-8
ESPN NFL Football,2000-2005,Sega,Sports,Football,PlayStation2,8-9
Medal of Honor: Allied Assault,2000-2005,EA,FPS,Historic,PC,8-9
F1 Challenge '99-'02,2000-2005,EA,Racing,FormulaOne,PC,7-8
Tony Hawk's Pro Skater 4,2000-2005,Activision,Sports,Skateboarding,GameCube,8-9
Madden NFL 2001,1995-2000,EA,Sports,Football,PlayStation2,7-8
FIFA Soccer 10,2005-2010,EA,Sports,Soccer,PlayStation3,7-8
Peggle,2005-2010,EA,Puzzle,Fantasy,PlayStation3,7-8
NCAA Football 2003,2000-2005,EA,Sports,Football,PlayStation2,8-9
MLB 10: The Show,2005-2010,SonyInteractiveEntertainment,Sports,Baseball,PlayStation3,8-9
Tiger Woods PGA Tour 2005,2000-2005,EA,Sports,Golf,PC,4-5
ESPN NFL Football,2000-2005,Sega,Sports,Football,Xbox,8-9
NCAA Football 2003,2000-2005,EA,Sports,Football,GameCube,8-9
Battlefield 2,2000-2005,EA,FPS,Modern,PC,8-9
Madden NFL 2005,2000-2005,EA,Sports,Football,PlayStation2,7-8
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,GameCube,8-9
Neverwinter Nights,2000-2005,EA,RPG,Fantasy,PC,8-9
World Soccer Winning Eleven 8 International,2000-2005,Konami,Sports,Soccer,PlayStation2,8-9
Madden NFL 2004,2000-2005,EA,Sports,Football,PC,7-8
